ID,Title,Type,Lat,Long,Location
1,AM 1 a fol.,Source,55.675,12.5687,Copenhagen
1,AM 1 a fol.,Destination,55.676097,12.568337,Copenhagen
2,AM 1 b fol.,Source,55.675,12.5687,Copenhagen
2,AM 1 b fol.,Destination,55.676097,12.568337,Copenhagen
3,AM 1 c fol.,Source,55.675,12.5687,Copenhagen
3,AM 1 c fol.,Destination,55.676097,12.568337,Copenhagen
4,AM 1 d α fol.,Source,55.675,12.5687,Copenhagen
4,AM 1 d α fol.,Destination,55.676097,12.568337,Copenhagen
5,AM 1 d β fol.,Source,55.675,12.5687,Copenhagen
5,AM 1 d β fol.,Destination,55.676097,12.568337,Copenhagen
6,AM 1 e α fol.,Source,55.675,12.5687,Copenhagen
6,AM 1 e α fol.,Destination,55.676097,12.568337,Copenhagen
7,AM 1 e β I fol.,Source,55.675,12.5687,Copenhagen
7,AM 1 e β I fol.,Destination,55.676097,12.568337,Copenhagen
8,AM 2 fol.,Source,55.675,12.5687,Copenhagen
8,AM 2 fol.,Destination,55.676097,12.568337,Copenhagen
9,AM 3 fol.,Source,55.675,12.5687,Copenhagen
9,AM 3 fol.,Destination,55.676097,12.568337,Copenhagen
10,AM 4 fol.,Source,64.116667,-20.533333,Skálholt
10,AM 4 fol.,Destination,55.676097,12.568337,Copenhagen
11,AM 5 fol.,Source,55.675,12.5687,Copenhagen
11,AM 5 fol.,Destination,55.676097,12.568337,Copenhagen
12,AM 6 fol.,Source,55.675,12.5687,Copenhagen
12,AM 6 fol.,Destination,55.676097,12.568337,Copenhagen
13,AM 7 fol.,Source,55.675,12.5687,Copenhagen
13,AM 7 fol.,Destination,55.676097,12.568337,Copenhagen
14,AM 8 fol.,Source,64.833762,-23.499033,Knörr
14,AM 8 fol.,Destination,55.676097,12.568337,Copenhagen
15,AM 9 fol.,Source,55.675,12.5687,Copenhagen
15,AM 9 fol.,Destination,55.676097,12.568337,Copenhagen
16,AM 10 fol.,Source,55.675,12.5687,Copenhagen
16,AM 10 fol.,Destination,55.676097,12.568337,Copenhagen
17,AM 11 fol.,Source,63.832988,-20.890045,Gaulverjabær
17,AM 11 fol.,Destination,55.676097,12.568337,Copenhagen
18,AM 12 a fol.,Source,64.116667,-20.533333,Skálholt
18,AM 12 a fol.,Destination,55.676097,12.568337,Copenhagen
19,AM 12 b fol.,Source,63.883997,-20.750909,Villingaholt
19,AM 12 b fol.,Destination,55.676097,12.568337,Copenhagen
20,AM 12 c fol.,Source,65.041431,-22.730734,Helgafell
20,AM 12 c fol.,Destination,55.676097,12.568337,Copenhagen
21,AM 34 fol.,Source,55.675,12.5687,Copenhagen
21,AM 34 fol.,Destination,55.676097,12.568337,Copenhagen
22,AM 54 fol.,Source,55.675,12.5687,Copenhagen
22,AM 54 fol.,Destination,55.676097,12.568337,Copenhagen
23,AM 65 fol.,Source,64.116667,-20.533333,Skálholt
23,AM 65 fol.,Destination,55.676097,12.568337,Copenhagen
24,AM 152 1 fol.,Source,55.675,12.5687,Copenhagen
24,AM 152 1 fol.,Destination,64.135338,-21.89521,Reykjavík
25,AM 157 h fol.,Source,63.832988,-20.890045,Gaulverjabær
25,AM 157 h fol.,Destination,64.135338,-21.89521,Reykjavík
26,AM 165 g fol.,Source,55.675,12.5687,Copenhagen
26,AM 165 g fol.,Destination,64.135338,-21.89521,Reykjavík
27,AM 168 fol.,Source,55.675,12.5687,Copenhagen
27,AM 168 fol.,Destination,64.135338,-21.89521,Reykjavík
28,AM 169 a fol.,Source,55.675,12.5687,Copenhagen
28,AM 169 a fol.,Destination,64.135338,-21.89521,Reykjavík
29,AM 169 b fol.,Source,55.675,12.5687,Copenhagen
29,AM 169 b fol.,Destination,64.135338,-21.89521,Reykjavík
30,AM 169 d fol.,Source,55.675,12.5687,Copenhagen
30,AM 169 d fol.,Destination,64.135338,-21.89521,Reykjavík
31,AM 170 fol.,Source,64.116667,-20.533333,Skálholt
31,AM 170 fol.,Destination,64.135338,-21.89521,Reykjavík
32,AM 171 b fol.,Source,64.833762,-23.499033,Knörr
32,AM 171 b fol.,Destination,64.135338,-21.89521,Reykjavík
33,AM 172 a fol.,Source,55.675,12.5687,Copenhagen
33,AM 172 a fol.,Destination,64.135338,-21.89521,Reykjavík
34,AM 173 fol.,Source,55.675,12.5687,Copenhagen
34,AM 173 fol.,Destination,64.135338,-21.89521,Reykjavík
35,AM 179 fol.,Source,55.675,12.5687,Copenhagen
35,AM 179 fol.,Destination,55.676097,12.568337,Copenhagen
36,AM 192 fol.,Source,55.675,12.5687,Copenhagen
36,AM 192 fol.,Destination,55.676097,12.568337,Copenhagen
37,AM 193 a fol.,Source,55.675,12.5687,Copenhagen
37,AM 193 a fol.,Destination,55.676097,12.568337,Copenhagen
38,AM 193 b fol.,Source,55.675,12.5687,Copenhagen
38,AM 193 b fol.,Destination,64.135338,-21.89521,Reykjavík
39,AM 193 e fol.,Source,55.675,12.5687,Copenhagen
39,AM 193 e fol.,Destination,64.135338,-21.89521,Reykjavík
40,AM 194 a fol.,Source,55.675,12.5687,Copenhagen
40,AM 194 a fol.,Destination,55.676097,12.568337,Copenhagen
41,AM 194 b fol.,Source,55.675,12.5687,Copenhagen
41,AM 194 b fol.,Destination,55.676097,12.568337,Copenhagen
42,AM 194 c fol.,Source,55.675,12.5687,Copenhagen
42,AM 194 c fol.,Destination,55.676097,12.568337,Copenhagen
43,AM 202 a fol.,Source,55.675,12.5687,Copenhagen
43,AM 202 a fol.,Destination,64.135338,-21.89521,Reykjavík
44,AM 202 b fol.,Source,55.675,12.5687,Copenhagen
44,AM 202 b fol.,Destination,64.135338,-21.89521,Reykjavík
45,AM 202 c fol.,Source,55.675,12.5687,Copenhagen
45,AM 202 c fol.,Destination,64.135338,-21.89521,Reykjavík
46,AM 202 g fol.,Source,55.675,12.5687,Copenhagen
46,AM 202 g fol.,Destination,55.676097,12.568337,Copenhagen
47,AM 202 i fol.,Source,55.675,12.5687,Copenhagen
47,AM 202 i fol.,Destination,55.676097,12.568337,Copenhagen
48,AM 202 k fol.,Source,55.675,12.5687,Copenhagen
48,AM 202 k fol.,Destination,55.676097,12.568337,Copenhagen
49,AM 203 fol.,Source,55.675,12.5687,Copenhagen
49,AM 203 fol.,Destination,55.676097,12.568337,Copenhagen
50,AM 395 fol.,Source,55.675,12.5687,Copenhagen
50,AM 395 fol.,Destination,64.135338,-21.89521,Reykjavík
51,AM 397 fol.,Source,55.675,12.5687,Copenhagen
51,AM 397 fol.,Destination,64.135338,-21.89521,Reykjavík
52,AM 147 4to,Source,55.675,12.5687,Copenhagen
52,AM 147 4to,Destination,64.135338,-21.89521,Reykjavík
53,AM 281 4to,Source,55.675,12.5687,Copenhagen
53,AM 281 4to,Destination,64.135338,-21.89521,Reykjavík
54,AM 282 4to,Source,55.675,12.5687,Copenhagen
54,AM 282 4to,Destination,55.676097,12.568337,Copenhagen
55,AM 283 4to,Source,55.675,12.5687,Copenhagen
55,AM 283 4to,Destination,55.676097,12.568337,Copenhagen
